album_name,track_name,artist,featuring,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,time_signature,duration_ms,explicit,key_name,mode_name,key_mode
Red (Taylor's Version),All Too Well (10 Minute Version) [Taylor's Version] [From The Vault],Taylor Swift,NA,0.631,0.518,0,-8.771,1,0.0303,0.274,0,0.088,0.205,93.023,4,613027,TRUE,C,major,C major
1989,Welcome To New York,Taylor Swift,NA,0.789,0.634,7,-4.762,1,0.0323,0.0348,1.64e-6,0.302,0.658,116.992,4,212600,FALSE,G,major,G major
1989,Blank Space,Taylor Swift,NA,0.76,0.703,5,-5.412,1,0.054,0.103,0,0.0913,0.57,95.997,4,231827,FALSE,F,major,F major
1989,Style,Taylor Swift,NA,0.588,0.791,7,-5.595,1,0.0402,0.00245,0.00258,0.118,0.487,94.933,4,231000,FALSE,G,major,G major
1989,Out Of The Woods,Taylor Swift,NA,0.553,0.841,7,-6.937,1,0.0396,7.43e-4,1.19e-5,0.341,0.338,92.008,4,235800,FALSE,G,major,G major
1989,All You Had To Do Was Stay,Taylor Swift,NA,0.605,0.725,5,-5.729,1,0.0323,0.00201,2.02e-5,0.101,0.539,96.97,4,193293,FALSE,F,major,F major
1989,Shake It Off,Taylor Swift,NA,0.647,0.8,7,-5.384,1,0.165,0.0647,0,0.334,0.942,160.078,4,219200,FALSE,G,major,G major
1989,I Wish You Would,Taylor Swift,NA,0.653,0.893,0,-5.966,1,0.0538,0.0158,4.95e-5,0.102,0.513,118.035,4,207440,FALSE,C,major,C major
1989,Bad Blood,Taylor Swift,NA,0.646,0.794,7,-6.104,1,0.19,0.0885,6.16e-6,0.201,0.287,170.216,4,211933,FALSE,G,major,G major
1989,Wildest Dreams,Taylor Swift,NA,0.55,0.688,8,-7.416,1,0.0897,0.0692,0.00144,0.106,0.465,139.997,4,220440,FALSE,G#,major,G# major
